α_weak	α_strong	α	gam_neg	shape	analysis	method
0.0159343	0.111514	0.132655	597.378	0.137938	bt_moderate_0.999	abc_mk
0.0164359	0.106326	0.130415	344.179	0.138828	bt_moderate_0.999	abc_mk
0.0212075	0.0976944	0.131351	603.835	0.141179	bt_moderate_0.999	abc_mk
0.0120021	0.0929284	0.107138	344.456	0.138421	bt_moderate_0.999	abc_mk
0.0161676	0.0985618	0.128043	593.226	0.134793	bt_moderate_0.999	abc_mk
0.0138769	0.112322	0.127345	571.893	0.134404	bt_moderate_0.999	abc_mk
0.0106283	0.093061	0.111926	613.401	0.132828	bt_moderate_0.999	abc_mk
0.037597	0.00817223	0.0468883	683.324	0.250262	bt_strong_0.4	abc_mk
0.0475328	0.00859635	0.0740266	362.894	0.222307	bt_strong_0.4	abc_mk
0.0384053	0.00346554	0.0404592	431.771	0.254608	bt_strong_0.4	abc_mk
0.060198	0.00769594	0.0841514	380.573	0.226532	bt_strong_0.4	abc_mk
0.0386831	0.0084394	0.0584378	374.341	0.245983	bt_strong_0.4	abc_mk
0.0640064	0.00721695	0.0826445	357.133	0.244065	bt_strong_0.4	abc_mk
0.0364703	0.00452866	0.0443494	454.926	0.252812	bt_strong_0.4	abc_mk
0.0312161	0.00743923	0.0441099	323.21	0.228085	bt_strong_0.4	abc_mk
0.0431398	0.00905643	0.0703479	410.465	0.2568	bt_strong_0.4	abc_mk
0.0507039	0.00713457	0.0669979	391.258	0.26112	bt_strong_0.4	abc_mk
0.0501196	0.00749637	0.0709795	480.625	0.261694	bt_strong_0.4	abc_mk
0.088014	0.00530574	0.100059	364.745	0.271095	bt_strong_0.4	abc_mk
0.0571844	0.0102029	0.106958	730.224	0.229647	bt_strong_0.4	abc_mk
0.0303958	0.00559097	0.0457809	369.366	0.245255	bt_strong_0.4	abc_mk
0.044639	0.00574777	0.0820115	378.496	0.242842	bt_strong_0.4	abc_mk
0.0451168	0.00532765	0.0866987	617.532	0.269239	bt_strong_0.4	abc_mk
0.0591203	0.00379271	0.144561	351.394	0.264605	bt_strong_0.4	abc_mk
0.0455409	0.00883376	0.0697605	394.348	0.224911	bt_strong_0.4	abc_mk
0.0403424	0.00959337	0.0808154	386.741	0.250822	bt_strong_0.4	abc_mk
0.0413081	0.00844149	0.0620547	366.032	0.246702	bt_strong_0.4	abc_mk
0.035709	0.00881052	0.0564052	372.473	0.211837	bt_strong_0.4	abc_mk
0.064276	0.00769542	0.0751616	522.202	0.272849	bt_strong_0.4	abc_mk
0.0312217	0.00836972	0.048597	456.328	0.264307	bt_strong_0.4	abc_mk
0.0458974	0.00795761	0.0653202	343.698	0.233629	bt_strong_0.4	abc_mk
0.0337926	0.00656311	0.0560858	357.619	0.259661	bt_strong_0.4	abc_mk
0.0465861	0.0100342	0.0716768	399.44	0.217306	bt_strong_0.4	abc_mk
0.0469299	0.0127394	0.0656022	347.526	0.271307	bt_strong_0.4	abc_mk
0.0354515	0.00800051	0.051107	342.749	0.257525	bt_strong_0.4	abc_mk
0.0492747	0.00916626	0.0686469	404.687	0.243845	bt_strong_0.4	abc_mk
0.0501112	0.00483614	0.0735429	669.667	0.256424	bt_strong_0.4	abc_mk
0.0462583	0.00645085	0.0628221	668.834	0.256193	bt_strong_0.4	abc_mk
0.0475996	0.0070048	0.0689359	429.009	0.242739	bt_strong_0.4	abc_mk
0.0398731	0.00745448	0.066022	365.557	0.221877	bt_strong_0.4	abc_mk
0.0422156	0.00716341	0.0649145	624.904	0.259679	bt_strong_0.4	abc_mk
0.0375438	0.00725404	0.0665777	619.61	0.25923	bt_strong_0.4	abc_mk
0.0477824	0.00866018	0.0813052	409.578	0.241592	bt_strong_0.4	abc_mk
0.0505294	0.00493127	0.0655601	373.249	0.253487	bt_strong_0.4	abc_mk
0.0278686	0.00906499	0.0411197	395.856	0.264619	bt_strong_0.4	abc_mk
0.0238192	0.00781115	0.0621645	314.938	0.266041	bt_strong_0.4	abc_mk
0.0382826	0.0114995	0.0659924	661.54	0.264263	bt_strong_0.4	abc_mk
0.0414668	0.0102256	0.0681309	364.349	0.215718	bt_strong_0.4	abc_mk
0.0419551	0.00711798	0.0856262	337.773	0.263781	bt_strong_0.4	abc_mk
0.034259	0.00701276	0.0521676	391.346	0.251626	bt_strong_0.4	abc_mk
0.0537039	0.00740703	0.0737758	428.297	0.253467	bt_strong_0.4	abc_mk
0.0204407	0.00858569	0.0408158	351.237	0.252538	bt_strong_0.4	abc_mk
0.0305	0.00853334	0.0521777	343.88	0.239456	bt_strong_0.4	abc_mk
0.055325	0.0088707	0.0715965	371.204	0.232462	bt_strong_0.4	abc_mk
0.0533631	0.00983082	0.0752256	704.09	0.238372	bt_strong_0.4	abc_mk
0.041135	0.00636991	0.0534998	473.011	0.244447	bt_strong_0.4	abc_mk
0.0422369	0.00833716	0.0606085	401.565	0.227818	bt_strong_0.4	abc_mk
0.0562078	0.00581486	0.0995477	409.686	0.277476	bt_strong_0.4	abc_mk
0.0246053	0.0080856	0.044512	422.553	0.22395	bt_strong_0.4	abc_mk
0.0256956	0.00908978	0.0401278	565.023	0.259465	bt_strong_0.4	abc_mk
0.0629161	0.0077423	0.091398	405.875	0.24317	bt_strong_0.4	abc_mk
0.0167126	0.0110208	0.0429651	372.969	0.254604	bt_strong_0.4	abc_mk
0.0455937	0.008301	0.0631429	666.184	0.240012	bt_strong_0.4	abc_mk
0.0380605	0.00796661	0.0633334	342.025	0.233977	bt_strong_0.4	abc_mk
