f	alphas	sfs	path
97	0.19213935514329594	nopos	noDemog_0.4_0.2_0.4
98	0.2101787326214184	nopos	noDemog_0.4_0.2_0.4
99	0.15948276476571877	nopos	noDemog_0.4_0.2_0.4
100	0.11037208339666593	nopos	noDemog_0.4_0.2_0.4
1	-0.5375988892574719	pos	noDemog_0.4_0.2_0.4
2	-0.10460910634840115	pos	noDemog_0.4_0.2_0.4
3	-0.03226406408660609	pos	noDemog_0.4_0.2_0.4
4	0.004267674022942369	pos	noDemog_0.4_0.2_0.4
5	0.025712591425721687	pos	noDemog_0.4_0.2_0.4
6	0.04129144751607783	pos	noDemog_0.4_0.2_0.4
7	0.05333611708247732	pos	noDemog_0.4_0.2_0.4
8	0.06749301387752138	pos	noDemog_0.4_0.2_0.4
9	0.07493643840316755	pos	noDemog_0.4_0.2_0.4
10	0.08242248604692459	pos	noDemog_0.4_0.2_0.4
11	0.09004886592541317	pos	noDemog_0.4_0.2_0.4
12	0.0940041233433766	pos	noDemog_0.4_0.2_0.4
13	0.09801003954149967	pos	noDemog_0.4_0.2_0.4
14	0.10248089272651495	pos	noDemog_0.4_0.2_0.4
15	0.10513378746194202	pos	noDemog_0.4_0.2_0.4
16	0.10888626218016895	pos	noDemog_0.4_0.2_0.4
17	0.11215138382386824	pos	noDemog_0.4_0.2_0.4
18	0.11590736527849321	pos	noDemog_0.4_0.2_0.4
19	0.11665238406572542	pos	noDemog_0.4_0.2_0.4
20	0.11664685544750142	pos	noDemog_0.4_0.2_0.4
21	0.12015781422886485	pos	noDemog_0.4_0.2_0.4
22	0.12418975953064837	pos	noDemog_0.4_0.2_0.4
23	0.1282776005213352	pos	noDemog_0.4_0.2_0.4
24	0.12757274167188037	pos	noDemog_0.4_0.2_0.4
25	0.13198130914821848	pos	noDemog_0.4_0.2_0.4
26	0.13174506218677495	pos	noDemog_0.4_0.2_0.4
27	0.13014623039054696	pos	noDemog_0.4_0.2_0.4
28	0.1312874312104858	pos	noDemog_0.4_0.2_0.4
29	0.1311648688906747	pos	noDemog_0.4_0.2_0.4
30	0.12996864900714233	pos	noDemog_0.4_0.2_0.4
31	0.1327878940923296	pos	noDemog_0.4_0.2_0.4
32	0.13536744210103346	pos	noDemog_0.4_0.2_0.4
33	0.13826286974253432	pos	noDemog_0.4_0.2_0.4
34	0.14191072198241605	pos	noDemog_0.4_0.2_0.4
35	0.1440162104069228	pos	noDemog_0.4_0.2_0.4
36	0.14684810204273702	pos	noDemog_0.4_0.2_0.4
37	0.14716647061862864	pos	noDemog_0.4_0.2_0.4
38	0.14744563898117768	pos	noDemog_0.4_0.2_0.4
39	0.1472889829940841	pos	noDemog_0.4_0.2_0.4
40	0.14858073491459445	pos	noDemog_0.4_0.2_0.4
41	0.15167279290337776	pos	noDemog_0.4_0.2_0.4
42	0.15157281744541817	pos	noDemog_0.4_0.2_0.4
43	0.14914894445779325	pos	noDemog_0.4_0.2_0.4
44	0.15007505348384265	pos	noDemog_0.4_0.2_0.4
45	0.14709128391886617	pos	noDemog_0.4_0.2_0.4
46	0.14730859153863785	pos	noDemog_0.4_0.2_0.4
47	0.1462972798152118	pos	noDemog_0.4_0.2_0.4
48	0.14634246744797885	pos	noDemog_0.4_0.2_0.4
49	0.14872852835671502	pos	noDemog_0.4_0.2_0.4
50	0.14715079545417653	pos	noDemog_0.4_0.2_0.4
51	0.14745674981833434	pos	noDemog_0.4_0.2_0.4
52	0.14660891665064468	pos	noDemog_0.4_0.2_0.4
53	0.14342900848080375	pos	noDemog_0.4_0.2_0.4
54	0.1451824920093544	pos	noDemog_0.4_0.2_0.4
55	0.1419914586385238	pos	noDemog_0.4_0.2_0.4
56	0.14222637985565945	pos	noDemog_0.4_0.2_0.4
57	0.1385125035985474	pos	noDemog_0.4_0.2_0.4
58	0.13911395421665385	pos	noDemog_0.4_0.2_0.4
59	0.13941424785319412	pos	noDemog_0.4_0.2_0.4
60	0.1372345130106677	pos	noDemog_0.4_0.2_0.4
61	0.1312110127189101	pos	noDemog_0.4_0.2_0.4
62	0.13007588499359368	pos	noDemog_0.4_0.2_0.4
