method	w	b	analysis	aw	as	a
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10509	0.05579	0.16088
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10474	0.0558	0.16054
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10501	0.05596	0.16097
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10511	0.05573	0.16085
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10517	0.05595	0.16112
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10481	0.05596	0.16078
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10516	0.05581	0.16096
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10526	0.05593	0.16119
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10486	0.05598	0.16084
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10476	0.05597	0.16073
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10481	0.05607	0.16088
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10516	0.05572	0.16088
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10492	0.0561	0.16102
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10519	0.05587	0.16106
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10513	0.05618	0.16131
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10492	0.05592	0.16084
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10487	0.05572	0.16059
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10498	0.05589	0.16086
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1051	0.05595	0.16105
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10504	0.05604	0.16109
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10505	0.05611	0.16116
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10484	0.05566	0.1605
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10494	0.05579	0.16073
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10489	0.05604	0.16093
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10494	0.05589	0.16083
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10512	0.05588	0.161
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10514	0.05586	0.16101
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10503	0.0561	0.16112
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10476	0.05603	0.16078
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.1053	0.05597	0.16126
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10491	0.05603	0.16094
SLiM	0.3	0.2	noDemog_0.4_0.3_0.2	0.10481	0.05574	0.16055
