aw	as	a	analysis	b	w	method
0.127401	-0.00548875	0.124587	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.124829	0.0303215	0.160243	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0872776	0.0408129	0.1402	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.140542	0.00556425	0.149751	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.114227	0.0400612	0.157979	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0920692	0.0425233	0.137801	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.127187	0.0244368	0.147511	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.1167	0.0368767	0.160592	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.123363	0.0172177	0.140235	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12346	0.00191935	0.121884	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0961354	0.042958	0.139037	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.102302	0.0315912	0.126969	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.147316	0.0100133	0.15022	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.11892	0.0268162	0.141593	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.106958	0.0186729	0.128046	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0546354	0.079572	0.13719	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.11959	0.0245552	0.136425	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.153986	0.00650921	0.155619	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12398	0.0187299	0.141932	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.118247	0.0436229	0.165722	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.142736	0.0209927	0.162933	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.126563	0.0104973	0.13696	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.223448	-0.0226038	0.207274	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.284427	-0.0352863	0.252188	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.251424	-0.024227	0.234619	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.228908	-0.0296843	0.205406	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.235935	-0.0240374	0.216236	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.293063	-0.0284377	0.247255	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.236242	-0.0219034	0.207494	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.263221	-0.0209603	0.239725	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.257528	-0.0205088	0.242313	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.265393	-0.0118782	0.246056	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.297699	-0.0265215	0.271597	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.266319	-0.0314919	0.238984	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.291529	-0.0282678	0.258319	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.255542	-0.0124	0.234998	isolation_0.4_0.1_0.4	0.4	0.1	ABC
0.276895	-0.0120881	0.257874	isolation_0.4_0.1_0.4	0.4	0.1	ABC
