aw	as	a	gamNeg	shape	analysis	b	w	method
0.138549	0.0714629	0.186274	605.626	0.15019	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.1315	0.0831154	0.199582	430.225	0.154605	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.129243	0.0756759	0.179624	420.781	0.145515	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.111103	0.0595327	0.167473	412.272	0.143145	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0933238	0.0748491	0.158732	391.547	0.143688	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.128159	0.0714324	0.183409	840.914	0.148901	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.142772	0.0446477	0.188963	777.709	0.147437	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.137126	0.0689065	0.202223	772.512	0.156377	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.16577	0.059259	0.207051	840.135	0.151469	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.10175	0.0652616	0.1614	814.298	0.139609	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0968389	0.0798408	0.172373	603.701	0.142825	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.142448	0.0499832	0.188739	829.512	0.150002	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.145698	0.0733205	0.210976	778.839	0.158911	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.113435	0.0812217	0.182414	612.933	0.148807	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.134082	0.0684736	0.188673	795.079	0.152618	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.103532	0.101824	0.198907	781.855	0.156688	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.105469	0.060587	0.160132	829.791	0.140663	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.140696	0.0737688	0.192051	415.97	0.154588	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0947468	0.0820463	0.162944	804.866	0.141929	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.084285	0.080757	0.165799	420.386	0.142514	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.123686	0.0631176	0.183568	413.378	0.149941	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.152955	0.0765136	0.215068	431.655	0.157826	isolation_0.4_0.3_0.2	0.2	0.3	ABC
