method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0677916	0.134134	0.194509	754.093	0.151887
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0564195	0.139068	0.190765	381.395	0.149508
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0385288	0.159927	0.188625	368.468	0.148597
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0820188	0.140433	0.210524	320.254	0.153058
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0368304	0.171479	0.190173	361.728	0.149497
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.148939	0.0976456	0.225147	422.642	0.157916
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0833038	0.120861	0.196653	406.277	0.148528
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0966503	0.111005	0.193196	799.854	0.148726
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0671136	0.13048	0.20294	410.646	0.14893
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0848971	0.137171	0.210742	368.51	0.152331
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.074573	0.142453	0.206383	409.888	0.153066
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.106644	0.138048	0.219257	716.131	0.160903
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.10714	0.142957	0.245342	361.657	0.167592
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.090261	0.134382	0.198917	391.67	0.152644
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.103242	0.13134	0.217	396.099	0.155707
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0479509	0.154711	0.194329	383.187	0.150337
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0791859	0.142056	0.21042	359.888	0.155318
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0499192	0.124845	0.185243	793.961	0.143563
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0660001	0.149956	0.203964	396.151	0.151883
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0719514	0.154312	0.215695	396.772	0.157819
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0668265	0.149037	0.192804	769.238	0.150099
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0634584	0.134701	0.182937	783.056	0.14478
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0908646	0.12164	0.203942	348.492	0.151146
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.019548	0.179516	0.198141	373.982	0.152114
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0478726	0.165088	0.205049	386.589	0.152443
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0269193	0.185757	0.203596	667.635	0.1538
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0252951	0.191909	0.194291	375.838	0.153837
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.103469	0.147849	0.225453	354.62	0.159926
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0276385	0.17552	0.191621	383.036	0.145543
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0291727	0.175303	0.191253	731.129	0.149551
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.105239	0.101538	0.197057	512.718	0.144885
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0777904	0.136998	0.218725	332.512	0.15746
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0448004	0.171682	0.203923	490.651	0.153078
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0392824	0.183125	0.207485	357.985	0.155286
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0806399	0.155299	0.210234	394.157	0.155192
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0393328	0.158607	0.185131	316.87	0.151222
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0312104	0.158561	0.193094	390.806	0.150764
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0886967	0.140315	0.213162	384.269	0.155696
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.065468	0.147062	0.196688	398.728	0.148903
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.102889	0.116933	0.202866	586.189	0.154304
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.125747	0.115257	0.215311	399.805	0.154625
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0883621	0.148108	0.216545	396.779	0.159185
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0579702	0.141681	0.189148	671.159	0.151361
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0685181	0.159929	0.210807	367.535	0.156478
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0648788	0.153013	0.198937	377.64	0.150736
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0843039	0.11991	0.194882	554.55	0.150457
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0751677	0.134351	0.208114	390.338	0.154753
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0348336	0.160469	0.188724	333.006	0.146863
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.116024	0.117416	0.219967	732.303	0.160561
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0360046	0.162704	0.19286	727.668	0.149095
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.12102	0.116687	0.224266	374.801	0.158297
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0574644	0.143447	0.195908	359.474	0.151085
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0274087	0.203935	0.222597	384.862	0.156678
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0816714	0.150007	0.216212	363.469	0.162091
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0784812	0.149748	0.218059	345.371	0.155219
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0560202	0.156252	0.199434	357.818	0.15166
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.139955	0.104615	0.217823	441.526	0.155552
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0939119	0.121484	0.198891	387.279	0.149638
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.163918	0.0967837	0.22268	418.778	0.155594
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0103685	0.191692	0.202333	347.317	0.150591
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.143841	0.0940785	0.233123	432.047	0.157895
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.064196	0.1401	0.200696	343.704	0.152056
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.00899521	0.182522	0.193606	390.064	0.150547
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.104862	0.143318	0.227269	414.6	0.162104
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0827294	0.130599	0.193113	362.926	0.150372
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0755562	0.123778	0.199849	398.583	0.152644
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0639624	0.145782	0.201933	773.826	0.150151
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0813735	0.143024	0.205772	353.53	0.15507
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.083763	0.137321	0.208032	775.408	0.154178
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.047068	0.157758	0.194889	770.44	0.148474
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0584752	0.1452	0.192548	782.626	0.146535
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0836896	0.0826823	0.159823	441.371	0.139621
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0996628	0.0924493	0.184335	790.29	0.149288
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.116067	0.0888557	0.184228	460.814	0.150934
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.047469	0.112497	0.157241	419.254	0.144044
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0887709	0.0919641	0.167314	792.822	0.145352
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0879707	0.0782884	0.158309	818.555	0.139333
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0805146	0.0947635	0.165921	435.958	0.144157
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0806681	0.0960755	0.168049	467.313	0.145853
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0949061	0.0940775	0.181639	424.403	0.150461
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0689933	0.0964109	0.16583	771.071	0.142927
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0806311	0.0774605	0.15266	800.474	0.138959
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0734587	0.102153	0.148399	502.002	0.140992
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.075328	0.101586	0.168291	789.049	0.14551
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0786437	0.0931073	0.165447	772.281	0.141476
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.106398	0.099804	0.186052	769.68	0.149385
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.109324	0.088822	0.185551	444.525	0.148436
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0616003	0.0924475	0.15125	806.018	0.137632
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0982546	0.0784016	0.170326	448.198	0.142429
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0807854	0.0905592	0.16709	447.346	0.144136
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0635118	0.116313	0.173876	416.453	0.149281
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0554991	0.108977	0.166107	818.563	0.144645
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0732489	0.103848	0.168672	418.215	0.146136
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0938678	0.105689	0.186858	427.553	0.152025
