method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0636793	0.0400855	0.102409	484.651	0.160778
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0579455	0.0790116	0.129474	438.66	0.168421
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0661044	0.0836975	0.143857	681.828	0.172617
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0845612	0.0603216	0.125045	468.328	0.163866
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0535466	0.0939453	0.137604	416.284	0.172998
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0920389	0.0697431	0.152577	793.956	0.176171
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0849798	0.0717873	0.148247	824.589	0.172264
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0934535	0.0452299	0.144482	777.396	0.173843
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0363494	0.0924769	0.132317	735.59	0.174294
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0738542	0.0836584	0.137646	384.424	0.171585
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0829617	0.0734202	0.145455	623.967	0.175894
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0639115	0.0761993	0.132177	781.24	0.170389
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0713312	0.0485185	0.122507	412.539	0.164048
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0646117	0.0781458	0.133455	405.102	0.167193
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0481442	0.0731357	0.120574	739.153	0.165952
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0749061	0.0687484	0.13439	826.271	0.167401
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0693808	0.0832266	0.140583	453.686	0.174812
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0575137	0.0803257	0.130451	821.367	0.168359
ABC	0.3	0.2	noDemog_0.4_0.3_0.2	0.0554427	0.07926	0.131608	798.579	0.170902
