f	alphas	B	alphaW	sfs	analysis	time
0.7676767676767676	0.2144569676245861	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7777777777777778	0.21120976023582294	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.7878787878787878	0.2127849667314481	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.797979797979798	0.21245527138983844	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8080808080808081	0.21184071708091345	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8181818181818182	0.21058832280187034	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8282828282828283	0.21129217393339106	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8383838383838383	0.21081589355668973	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8484848484848485	0.20668582582424777	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8585858585858586	0.20480725572169411	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8686868686868687	0.20147571011096654	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8787878787878788	0.20031673315675858	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.8888888888888888	0.19918062537306302	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.898989898989899	0.19006803453826504	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9090909090909091	0.18113045849644727	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9191919191919192	0.17185060632075222	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9292929292929293	0.16861861479755114	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9393939393939394	0.16771524417328298	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9494949494949495	0.15637224000636252	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9595959595959596	0.16861187047605286	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9696969696969697	0.15004720667628513	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.9797979797979798	0.12707218055649738	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.98989898989899	0.0816248673247284	0.999	0.1	All alleles	Expansion strength = 5.0	1
1.0	0.08394399644764572	0.999	0.1	All alleles	Expansion strength = 5.0	1
