f	alphas	B	alphaW	sfs	path	analysis
0.16016016016016016	0.08043700527648778	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16116116116116116	0.08064853059751231	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16216216216216217	0.08007869936694867	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16316316316316315	0.08164041861328009	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16416416416416416	0.08283480462324455	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16516516516516516	0.08021286019644924	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16616616616616617	0.07984161421551927	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16716716716716717	0.08044185178313279	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16816816816816818	0.0802800949993	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.16916916916916916	0.08059356388626993	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17017017017017017	0.08211472135013342	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17117117117117117	0.08292262080192336	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17217217217217218	0.08415032837303194	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17317317317317318	0.08525817385631385	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17417417417417416	0.08641624795539138	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17517517517517517	0.08669779461219251	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17617617617617617	0.08675691502534244	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17717717717717718	0.08775683419696834	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1781781781781782	0.08844300677159256	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17917917917917917	0.08683068526186688	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18018018018018017	0.08581351209288379	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18118118118118118	0.08428591762960447	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18218218218218218	0.08573642060899989	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1831831831831832	0.0871008698441651	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1841841841841842	0.08747012371841101	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
