f	alphas	B	alphaW	sfs	path
83	0.3033712900759987	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
84	0.29785516663276235	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
85	0.31084238590366586	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
86	0.3140447425610874	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
87	0.3093482318003027	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
88	0.30440228394768065	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
89	0.305905390148253	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
90	0.3190926221903023	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
91	0.30575416764524554	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
92	0.29999536402521576	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
93	0.3022914460322622	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
94	0.30834855636408254	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
95	0.3164713562829412	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
96	0.32377602289790264	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
97	0.3220697123966745	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
98	0.3275317099745212	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
99	0.3301857792200946	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
100	0.33227005237218743	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
1	-0.31849725824227804	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
2	0.03466487267243967	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
3	0.09299780991855677	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
4	0.12297338619167375	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
5	0.14325852112137516	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
6	0.1603491025397209	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
7	0.17151872697203951	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
8	0.17998551293047693	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
9	0.18753643047983726	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
10	0.1947303393269415	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
11	0.20038328119721738	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
12	0.2050747492661128	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
13	0.2076908728079424	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
14	0.21052845614553273	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
15	0.2136218170057972	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
16	0.21724431560893864	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
17	0.22020445058130245	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
18	0.22258582531352122	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
19	0.22555677151868259	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
20	0.2288482144853916	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
21	0.23196901077337495	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
22	0.23265907775184125	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
23	0.2333756157420276	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
24	0.2359538223593527	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
25	0.23712631565157016	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
26	0.23926035213632002	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
27	0.2403148285050135	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
28	0.23912207483903214	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
29	0.23990181658966514	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
30	0.2408748726468377	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
31	0.24101845840054625	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
32	0.2411616630225928	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
33	0.24196555940968634	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
34	0.24202396406458393	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
35	0.24309233658626805	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
36	0.24299599169883213	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
37	0.24366620908081704	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
38	0.24377166223956803	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
39	0.24476190503918027	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
40	0.24573401569521602	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
41	0.24503715934376247	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
42	0.2432297368536256	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
43	0.2434927502974602	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
44	0.24435486693107555	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
45	0.24404647587066897	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
46	0.24299445922695628	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
47	0.2428815662402607	0.8	0.2	All alleles	noDemog_0.4_0.2_0.8
