method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_s1	0.10009	0.150733	0.237133
ABC	0.1	0.999	twoepochs_s2	0.151911	0.15777	0.293019
ABC	0.1	0.999	twoepochs_s2	0.130922	0.150824	0.27121
ABC	0.1	0.999	twoepochs_s2	0.107728	0.167634	0.265973
ABC	0.1	0.999	twoepochs_s2	0.102039	0.186172	0.269386
ABC	0.1	0.999	twoepochs_s2	0.106438	0.161035	0.256434
ABC	0.1	0.999	twoepochs_s2	0.137637	0.159193	0.284833
ABC	0.1	0.999	twoepochs_s2	0.163907	0.157501	0.304315
ABC	0.1	0.999	twoepochs_s2	0.131587	0.155462	0.277022
ABC	0.1	0.999	twoepochs_s2	0.161432	0.128517	0.276935
ABC	0.1	0.999	twoepochs_s2	0.176657	0.121213	0.285306
ABC	0.1	0.999	twoepochs_s2	0.133718	0.146928	0.269034
ABC	0.1	0.999	twoepochs_s2	0.172044	0.132815	0.282112
ABC	0.1	0.999	twoepochs_s2	0.168621	0.131577	0.270625
ABC	0.1	0.999	twoepochs_s2	0.184756	0.142901	0.295493
ABC	0.1	0.999	twoepochs_s2	0.0509304	0.167537	0.227565
ABC	0.1	0.999	twoepochs_s2	0.153162	0.147383	0.278393
ABC	0.1	0.999	twoepochs_s2	0.140125	0.155664	0.294842
ABC	0.1	0.999	twoepochs_s2	0.142428	0.173373	0.295895
ABC	0.1	0.999	twoepochs_s2	0.120273	0.15586	0.270703
ABC	0.1	0.999	twoepochs_s2	0.128403	0.151758	0.273281
ABC	0.1	0.999	twoepochs_s2	0.120559	0.163257	0.268011
ABC	0.1	0.999	twoepochs_s2	0.133011	0.159948	0.255129
ABC	0.1	0.999	twoepochs_s2	0.139985	0.133329	0.265378
ABC	0.1	0.999	twoepochs_s2	0.0933852	0.163169	0.258169
ABC	0.1	0.999	twoepochs_s2	0.211598	0.114386	0.308122
ABC	0.1	0.999	twoepochs_s2	0.115718	0.155899	0.273967
ABC	0.1	0.999	twoepochs_s2	0.155223	0.131784	0.277781
ABC	0.1	0.999	twoepochs_s2	0.158218	0.126129	0.270548
ABC	0.1	0.999	twoepochs_s2	0.160942	0.146546	0.289649
ABC	0.1	0.999	twoepochs_s2	0.208175	0.131008	0.312023
ABC	0.1	0.999	twoepochs_s2	0.115457	0.176647	0.278036
ABC	0.1	0.999	twoepochs_s2	0.191377	0.137554	0.310765
ABC	0.1	0.999	twoepochs_s2	0.107126	0.151408	0.254048
ABC	0.1	0.999	twoepochs_s2	0.143469	0.156553	0.268433
ABC	0.1	0.999	twoepochs_s2	0.129633	0.144838	0.267225
ABC	0.1	0.999	twoepochs_s2	0.117294	0.163452	0.263086
ABC	0.1	0.999	twoepochs_s2	0.146972	0.143171	0.27691
ABC	0.1	0.999	twoepochs_s2	0.128519	0.153241	0.275421
ABC	0.1	0.999	twoepochs_s2	0.135502	0.153402	0.274953
ABC	0.1	0.999	twoepochs_s2	0.182908	0.141692	0.30268
ABC	0.1	0.999	twoepochs_s2	0.155425	0.150412	0.273556
ABC	0.1	0.999	twoepochs_s2	0.118376	0.169814	0.260546
ABC	0.1	0.999	twoepochs_s2	0.167741	0.14163	0.293901
